#: table_doi: 10.17182/hepdata.84819.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: JER.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: SiGMA(PTRECO / PTTRUTH)
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,pp
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
133.5,126,141,0.097,0.0005,-0.0005
149.5,141,158,0.0914,0.0005,-0.0005
168.0,158,178,0.0878,0.0004,-0.0004
189.0,178,200,0.08366,0.00033,-0.00033
212.0,200,224,0.07972,0.00032,-0.00032
237.5,224,251,0.07653,0.00031,-0.00031
266.5,251,282,0.07375,0.00032,-0.00032
299.0,282,316,0.07133,0.00035,-0.00035
335.5,316,355,0.0683,0.0004,-0.0004
376.5,355,398,0.0664,0.0004,-0.0004
422.5,398,447,0.06473,0.00019,-0.00019
474.0,447,501,0.06255,0.00018,-0.00018
531.5,501,562,0.06071,0.00021,-0.00021
596.5,562,631,0.05913,0.00023,-0.00023
669.5,631,708,0.05852,0.00031,-0.00031
751.0,708,794,0.0572,0.0004,-0.0004
842.5,794,891,0.05565,0.00015,-0.00015
945.5,891,1000,0.05454,0.00013,-0.00013

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,40-50 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
42.5,40,45,0.1876,0.0014,-0.0014
47.5,45,50,0.1692,0.0013,-0.0013
53.0,50,56,0.1568,0.0012,-0.0012
59.5,56,63,0.1439,0.0011,-0.0011
67.0,63,71,0.1333,0.001,-0.001
75.0,71,79,0.1221,0.0009,-0.0009
84.0,79,89,0.1161,0.0008,-0.0008
94.5,89,100,0.1077,0.0008,-0.0008
106.0,100,112,0.1022,0.0008,-0.0008
119.0,112,126,0.0966,0.0007,-0.0007
133.5,126,141,0.0906,0.0007,-0.0007
149.5,141,158,0.0868,0.0007,-0.0007
168.0,158,178,0.0834,0.0005,-0.0005
189.0,178,200,0.0802,0.0004,-0.0004
212.0,200,224,0.0767,0.0004,-0.0004
237.5,224,251,0.0741,0.0004,-0.0004
266.5,251,282,0.0715,0.0004,-0.0004
299.0,282,316,0.0691,0.0005,-0.0005
335.5,316,355,0.0667,0.0005,-0.0005
376.5,355,398,0.0648,0.0006,-0.0006
422.5,398,447,0.0637,0.00027,-0.00027
474.0,447,501,0.06147,0.00026,-0.00026
531.5,501,562,0.06058,0.0003,-0.0003
596.5,562,631,0.05879,0.00034,-0.00034
669.5,631,708,0.0577,0.0004,-0.0004
751.0,708,794,0.0564,0.0006,-0.0006
842.5,794,891,0.05547,0.0002,-0.0002
945.5,891,1000,0.05421,0.00019,-0.00019

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,50-60 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
42.5,40,45,0.1648,0.0012,-0.0012
47.5,45,50,0.1492,0.0011,-0.0011
53.0,50,56,0.1376,0.0011,-0.0011
59.5,56,63,0.1286,0.001,-0.001
67.0,63,71,0.1212,0.0009,-0.0009
75.0,71,79,0.1127,0.0008,-0.0008
84.0,79,89,0.1072,0.0008,-0.0008
94.5,89,100,0.1019,0.0007,-0.0007
106.0,100,112,0.0957,0.0007,-0.0007
119.0,112,126,0.0913,0.0007,-0.0007
133.5,126,141,0.0865,0.0007,-0.0007
