#: table_doi: 10.17182/hepdata.84819.v1/t32
#: name: Table 32
#: description: No description provided.
#: data_file: cov_stat_c4_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,40-50 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
200,178,0.284
200,200,1.0
200,224,0.2417
200,251,0.2726
200,282,0.03779
200,316,0.03871
200,355,0.00531
200,398,0.003255
224,50,1.359e-05
224,56,1.618e-05
224,63,2.243e-05
224,71,0.0001215
224,79,0.0001879
224,89,0.0006282
224,100,0.002129
224,112,0.001331
224,126,0.01891
224,141,0.04262
224,158,0.07047
224,178,0.2736
224,200,0.2417
224,224,1.0
224,251,0.2178
224,282,0.2597
224,316,0.03574
224,355,0.03581
224,398,0.002146
251,50,1.043e-06
251,56,1.599e-06
251,63,2.909e-06
251,71,1.308e-05
251,79,7.576e-06
251,89,4.917e-05
251,100,0.0003249
251,112,0.002244
251,126,0.002775
251,141,0.01336
251,158,0.04345
251,178,0.04859
251,200,0.2726
251,224,0.2178
251,251,1.0
251,282,0.2261
251,316,0.2498
251,355,0.03042
251,398,0.03653
282,50,1.313e-08
282,56,4.526e-08
282,63,7.459e-07
282,71,2.023e-06
282,79,9.139e-08
282,89,3.71e-05
282,100,9.8e-05
282,112,0.0001753
282,126,0.001852
282,141,0.003187
282,158,0.009868
282,178,0.04172
282,200,0.03779
282,224,0.2597
282,251,0.2261
282,282,1.0
282,316,0.2394
282,355,0.2454
282,398,0.002458
316,50,3.111e-09
316,56,1.802e-08
316,63,1.453e-07
316,71,4.81e-07
316,79,8.386e-07
316,89,1.567e-06
316,100,3.027e-05
316,112,0.0001055
316,126,4.923e-05
316,141,0.001367
316,158,0.003114
316,178,0.007266
316,200,0.03871
316,224,0.03574
316,251,0.2498
316,282,0.2394
316,316,1.0
316,355,0.1959
316,398,0.2573
355,50,3.17e-09
355,56,3.891e-09
355,63,7.448e-09
355,71,6.844e-08
355,79,2.767e-07
355,89,1.933e-06
355,100,1.315e-06
355,112,2.125e-05
355,126,9.308e-05
355,141,2.915e-05
355,158,0.001046
355,178,0.003038
355,200,0.00531
355,224,0.03581
355,251,0.03042
355,282,0.2454
355,316,0.1959
355,355,1.0
355,398,0.04488
398,50,1.018e-09
398,56,2.455e-09
398,63,4.66e-09
398,71,4.219e-09
398,79,1.938e-08
398,89,4.321e-07
398,100,1.951e-06
398,112,4.115e-06
398,126,8.263e-06
398,141,7.314e-05
398,158,0.000116
398,178,0.0006655
398,200,0.003255
398,224,0.002146
398,251,0.03653
398,282,0.002458
398,316,0.2573
398,355,0.04488
398,398,1.0

