#: table_doi: 10.17182/hepdata.84819.v1/t31
#: name: Table 31
#: description: No description provided.
#: data_file: cov_stat_c3_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,30-40 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
224,447,0.003074
224,501,0.0003956
224,562,9.63e-05
224,631,2.264e-05
251,79,2.234e-05
251,89,2.853e-05
251,100,0.0006343
251,112,0.002661
251,126,0.001478
251,141,0.01829
251,158,0.04277
251,178,0.06928
251,200,0.2705
251,224,0.2509
251,251,1.0
251,282,0.2316
251,316,0.2598
251,355,0.02316
251,398,0.03532
251,447,0.001928
251,501,0.002432
251,562,0.0003017
251,631,9.01e-05
282,79,1.513e-06
282,89,4.931e-05
282,100,6.929e-05
282,112,0.0004338
282,126,0.002269
282,141,0.002453
282,158,0.01351
282,178,0.04193
282,200,0.05201
282,224,0.268
282,251,0.2316
282,282,1.0
282,316,0.2115
282,355,0.2566
282,398,0.02031
282,447,0.03506
282,501,0.0006904
282,562,0.002257
282,631,0.0001841
316,79,8.352e-07
316,89,6.516e-06
316,100,4.618e-05
316,112,0.00011
316,126,0.0001735
316,141,0.001762
316,158,0.003145
316,178,0.009478
316,200,0.04089
316,224,0.03812
316,251,0.2598
316,282,0.2115
316,316,1.0
316,355,0.1674
316,398,0.2417
316,447,0.001308
316,501,0.02858
316,562,0.0004787
316,631,0.002034
355,79,4.668e-07
355,89,1.951e-06
355,100,1.7e-06
355,112,3.344e-05
355,126,0.0001034
355,141,3.018e-05
355,158,0.001256
355,178,0.003155
355,200,0.006003
355,224,0.03853
355,251,0.02316
355,282,0.2566
355,316,0.1674
355,355,1.0
355,398,0.1813
355,447,0.2451
355,501,0.003473
355,562,0.02686
355,631,0.0009556
398,79,7.614e-08
398,89,7.353e-07
398,100,2.23e-06
398,112,1.617e-06
398,126,1.978e-05
398,141,8.784e-05
398,158,4.819e-05
398,178,0.0009523
398,200,0.003041
398,224,0.004575
398,251,0.03532
398,282,0.02031
398,316,0.2417
398,355,0.1813
398,398,1.0
398,447,0.105
398,501,0.233
398,562,0.001459
398,631,0.02647
447,79,3.785e-09
447,89,5.992e-08
447,100,5.153e-07
447,112,2.124e-06
447,126,3.518e-06
447,141,8.668e-06
447,158,6.764e-05
447,178,0.0001025
447,200,0.0006275
447,224,0.003074
447,251,0.001928
447,282,0.03506
447,316,0.001308
447,355,0.2451
447,398,0.105
447,447,1.0
447,501,0.1167
447,562,0.2098
447,631,0.01188
501,79,3.243e-09
501,89,1.394e-08
501,100,8.871e-09
501,112,2.76e-07
501,126,1.336e-06
501,141,3.1e-06
501,158,2.321e-06
501,178,4.518e-05
501,200,0.0001032
501,224,0.0003956
501,251,0.002432
501,282,0.0006904
501,316,0.02858
501,355,0.003473
501,398,0.233
501,447,0.1167
501,501,1.0
501,562,0.2054
501,631,0.2254
562,79,6.852e-10
562,89,4.978e-09
562,100,1.405e-08
562,112,1.417e-08
562,126,1.225e-07
562,141,8.349e-07
562,158,2.458e-06
562,178,5.447e-08
562,200,3.246e-05
562,224,9.63e-05
562,251,0.0003017
562,282,0.002257
562,316,0.0004787
562,355,0.02686
562,398,0.001459
562,447,0.2098
562,501,0.2054
562,562,1.0
562,631,0.02835
631,79,1.248e-10
631,89,1.123e-09
631,100,4.637e-09
631,112,1.512e-08
631,126,2.557e-08
631,141,4.946e-08
631,158,5.914e-07
631,178,2.308e-06
631,200,2.279e-06
631,224,2.264e-05
631,251,9.01e-05
631,282,0.0001841
631,316,0.002034
631,355,0.0009556
631,398,0.02647
631,447,0.01188
631,501,0.2254
631,562,0.02835
631,631,1.0

