#: table_doi: 10.17182/hepdata.84819.v1/t34
#: name: Table 34
#: description: No description provided.
#: data_file: cov_stat_c6_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,60-70 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
200,282,0.03319
200,316,0.03752
200,355,0.003261
200,398,0.002961
224,50,3.333e-06
224,56,1.058e-05
224,63,2.172e-06
224,71,5.347e-05
224,79,7.952e-05
224,89,0.0002131
224,100,0.001504
224,112,0.003055
224,126,0.01144
224,141,0.04454
224,158,0.04487
224,178,0.2741
224,200,0.202
224,224,1.0
224,251,0.2398
224,282,0.252
224,316,0.03242
224,355,0.03824
224,398,0.0001065
251,50,3.099e-07
251,56,1.088e-06
251,63,2.097e-07
251,71,7.111e-06
251,79,4.265e-06
251,89,6.265e-05
251,100,8.77e-05
251,112,0.001608
251,126,0.003079
251,141,0.009918
251,158,0.04014
251,178,0.03994
251,200,0.258
251,224,0.2398
251,251,1.0
251,282,0.2356
251,316,0.2571
251,355,0.01553
251,398,0.03533
282,50,2.686e-08
282,56,5.98e-08
282,63,2.074e-07
282,71,1.239e-06
282,79,1.157e-06
282,89,1.751e-05
282,100,7.887e-05
282,112,1.513e-05
282,126,0.001273
282,141,0.0033
282,158,0.007154
282,178,0.03969
282,200,0.03319
282,224,0.252
282,251,0.2356
282,282,1.0
282,316,0.1679
282,355,0.2487
282,398,0.01736
316,50,6.673e-09
316,56,8.999e-09
316,63,3.213e-08
316,71,2.242e-07
316,79,6.078e-07
316,89,1.44e-06
316,100,1.471e-05
316,112,8.542e-05
316,126,2.908e-05
316,141,0.001097
316,158,0.003032
316,178,0.005685
316,200,0.03752
316,224,0.03242
316,251,0.2571
316,282,0.1679
316,316,1.0
316,355,0.1173
316,398,0.2475
355,50,1.933e-09
355,56,4.328e-09
355,63,5.323e-09
355,71,1.08e-08
355,79,1.101e-07
355,89,1.384e-06
355,100,3.174e-06
355,112,7.725e-06
355,126,7.361e-05
355,141,0.0001138
355,158,0.0007917
355,178,0.003447
355,200,0.003261
355,224,0.03824
355,251,0.01553
355,282,0.2487
355,316,0.1173
355,355,1.0
355,398,0.05924
398,50,3.104e-10
398,56,9.049e-10
398,63,2.395e-09
398,71,4.917e-09
398,79,2.021e-09
398,89,1.536e-07
398,100,1.06e-06
398,112,3.491e-06
398,126,1.814e-06
398,141,5.256e-05
398,158,0.0001276
398,178,0.0003942
398,200,0.002961
398,224,0.0001065
398,251,0.03533
398,282,0.01736
398,316,0.2475
398,355,0.05924
398,398,1.0

