#: table_doi: 10.17182/hepdata.84819.v1/t30
#: name: Table 30
#: description: No description provided.
#: data_file: cov_stat_c2_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,20-30 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
141,398,0.0001019
141,447,1.816e-05
141,501,3.064e-06
141,562,1.336e-06
141,631,9.112e-08
158,79,0.02392
158,89,0.03345
158,100,0.03127
158,112,0.1959
158,126,0.2136
158,141,0.4254
158,158,1.0
158,178,0.3833
158,200,0.2557
158,224,0.115
158,251,0.0397
158,282,0.01765
158,316,0.002444
158,355,0.0017
158,398,2.794e-05
158,447,8.494e-05
158,501,7.183e-06
158,562,3.205e-06
158,631,7.218e-07
178,79,0.001684
178,89,0.01277
178,100,0.03097
178,112,0.0006257
178,126,0.1757
178,141,0.2391
178,158,0.3833
178,178,1.0
178,200,0.3558
178,224,0.2651
178,251,0.09059
178,282,0.04194
178,316,0.01327
178,355,0.002933
178,398,0.001261
178,447,7.249e-05
178,501,6.109e-05
178,562,1.5e-06
178,631,2.579e-06
200,79,0.001713
200,89,0.001014
200,100,0.009803
200,112,0.0335
200,126,0.0201
200,141,0.1452
200,158,0.2557
200,178,0.3558
200,200,1.0
200,224,0.3135
200,251,0.2725
200,282,0.06708
200,316,0.04139
200,355,0.009507
200,398,0.003188
200,447,0.0008635
200,501,0.0001031
200,562,4.445e-05
200,631,2.313e-06
224,79,0.0006347
224,89,0.001549
224,100,0.001806
224,112,0.005261
224,126,0.03021
224,141,0.0323
224,158,0.115
224,178,0.2651
224,200,0.3135
224,224,1.0
224,251,0.2764
224,282,0.2705
224,316,0.052
224,355,0.04002
224,398,0.006129
224,447,0.00322
224,501,0.0005521
224,562,0.0001166
224,631,2.584e-05
251,79,8.025e-05
251,89,0.000242
251,100,0.001156
251,112,0.002748
251,126,0.001199
251,141,0.02387
251,158,0.0397
251,178,0.09059
251,200,0.2725
251,224,0.2764
251,251,1.0
251,282,0.2439
251,316,0.2601
251,355,0.03891
251,398,0.03788
251,447,0.00324
251,501,0.002793
251,562,0.0003447
251,631,0.0001124
282,79,2.04e-06
282,89,5.184e-05
282,100,2.855e-05
282,112,0.000842
282,126,0.002744
282,141,0.001219
282,158,0.01765
282,178,0.04194
282,200,0.06708
282,224,0.2705
282,251,0.2439
282,282,1.0
282,316,0.2359
282,355,0.2579
282,398,0.02236
282,447,0.0359
282,501,0.00133
282,562,0.002506
282,631,0.0001147
316,79,2.949e-07
316,89,1.874e-05
316,100,6.926e-05
316,112,6.441e-05
316,126,0.0004698
316,141,0.002235
316,158,0.002444
316,178,0.01327
316,200,0.04139
316,224,0.052
316,251,0.2601
316,282,0.2359
316,316,1.0
316,355,0.2203
316,398,0.2622
316,447,0.005724
316,501,0.03286
316,562,0.0002355
316,631,0.002129
355,79,6.896e-07
355,89,6.326e-07
355,100,1.102e-05
355,112,5.573e-05
355,126,0.0001035
355,141,0.0002051
355,158,0.0017
355,178,0.002933
355,200,0.009507
355,224,0.04002
355,251,0.03891
355,282,0.2579
355,316,0.2203
355,355,1.0
355,398,0.1596
355,447,0.2526
355,501,0.003263
355,562,0.02927
355,631,0.002103
398,79,2.116e-07
398,89,1.251e-06
398,100,2.441e-06
398,112,2.741e-06
398,126,3.553e-05
398,141,0.0001019
398,158,2.794e-05
398,178,0.001261
398,200,0.003188
398,224,0.006129
398,251,0.03788
398,282,0.02236
398,316,0.2622
398,355,0.1596
398,398,1.0
398,447,0.1144
398,501,0.2344
398,562,0.008423
398,631,0.02469
447,79,1.396e-08
447,89,2.095e-07
447,100,9.941e-07
447,112,2.696e-06
447,126,2.078e-06
447,141,1.816e-05
447,158,8.494e-05
447,178,7.249e-05
447,200,0.0008635
447,224,0.00322
447,251,0.00324
447,282,0.0359
447,316,0.005724
447,355,0.2526
447,398,0.1144
447,447,1.0
447,501,0.1487
447,562,0.2279
447,631,0.01994
501,79,4.776e-09
501,89,7.055e-09
501,100,7.972e-08
501,112,5.555e-07
501,126,1.938e-06
501,141,3.064e-06
501,158,7.183e-06
501,178,6.109e-05
501,200,0.0001031
501,224,0.0005521
501,251,0.002793
501,282,0.00133
501,316,0.03286
501,355,0.003263
501,398,0.2344
501,447,0.1487
501,501,1.0
501,562,0.1453
501,631,0.2429
562,79,1.699e-09
562,89,9.189e-09
562,100,1.926e-08
562,112,9.139e-09
562,126,2.808e-07
562,141,1.336e-06
562,158,3.205e-06
562,178,1.5e-06
562,200,4.445e-05
562,224,0.0001166
562,251,0.0003447
562,282,0.002506
562,316,0.0002355
562,355,0.02927
562,398,0.008423
562,447,0.2279
562,501,0.1453
562,562,0.1
562,631,0.08217
631,79,2.427e-10
631,89,1.732e-09
631,100,6.282e-09
631,112,1.643e-08
631,126,1.937e-08
631,141,9.112e-08
631,158,7.218e-07
631,178,2.579e-06
631,200,2.313e-06
631,224,2.584e-05
631,251,0.0001124
631,282,0.0001147
631,316,0.002129
631,355,0.002103
631,398,0.02469
631,447,0.01994
631,501,0.2429
631,562,0.08217
631,631,1.0

