# MinHFSum NPartMean NPartVar NCollMean NCollVar BMean BVar
5.521715698000000430e+02 1.007920227000000040e+02 9.505476952000000423e+00 2.212163544000000002e+02 4.704983520999999769e+01 1.002900218999999993e+01 4.446935356000000228e-01
4.863454285000000255e+02 9.071315002000000050e+01 8.743786811999999742e+00 1.886773375999999871e+02 4.137136841000000231e+01 1.032530784999999973e+01 4.460006653999999959e-01
4.260306701999999746e+02 8.093518828999999926e+01 8.194231032999999442e+00 1.589862213000000111e+02 3.680750274999999760e+01 1.063389873999999935e+01 4.544324278999999911e-01
3.731466674999999782e+02 7.260846709999999860e+01 7.469778537999999912e+00 1.347003325999999959e+02 3.133597565000000174e+01 1.090623569000000082e+01 4.603145122999999783e-01
3.242058104999999841e+02 6.415354919000000677e+01 7.369825839999999850e+00 1.125467529000000013e+02 2.815192413000000116e+01 1.119199562000000014e+01 4.774492084999999997e-01
2.798603820999999812e+02 5.661166000000000054e+01 6.527495383999999845e+00 9.345368958000000248e+01 2.380431747000000087e+01 1.146495438000000000e+01 4.859492481000000086e-01
2.405655669999999873e+02 4.995008087000000074e+01 6.315515041000000274e+00 7.793141174000000149e+01 2.099254227000000128e+01 1.172303295000000034e+01 4.972254038000000209e-01
2.051367492999999911e+02 4.339180374000000029e+01 5.855485438999999737e+00 6.350312042000000190e+01 1.765484427999999895e+01 1.199694157000000061e+01 5.120539665000000129e-01
1.741733398000000079e+02 3.783950423999999657e+01 5.245465279000000258e+00 5.204688644000000153e+01 1.446842574999999975e+01 1.224557017999999964e+01 5.230858922000000133e-01
1.465973205999999891e+02 3.270558548000000343e+01 5.017240046999999592e+00 4.235418700999999686e+01 1.242431355000000082e+01 1.249829483000000074e+01 5.445193052000000256e-01
1.232744217000000049e+02 2.786652945999999886e+01 4.519149302999999840e+00 3.392041016000000297e+01 1.022308922000000031e+01 1.276615619999999929e+01 5.663142799999999477e-01
1.029476851999999951e+02 2.379212761000000143e+01 4.106968402999999768e+00 2.731630515999999886e+01 8.508124351999999391e+00 1.300546551000000051e+01 5.915973185999999773e-01
8.507653808999999967e+01 2.020313262999999893e+01 3.777538299999999793e+00 2.180278969000000089e+01 6.950780392000000418e+00 1.323998259999999938e+01 6.167932749000000214e-01
7.019781494000000066e+01 1.685030365000000074e+01 3.484182834999999923e+00 1.720368195000000000e+01 5.799064635999999773e+00 1.349581146000000054e+01 6.604022980000000542e-01
5.758372879000000211e+01 1.404892159000000085e+01 3.261267424000000137e+00 1.358809948000000034e+01 4.871281147000000367e+00 1.374674891999999993e+01 7.054476142000000172e-01
4.683137131000000153e+01 1.160800934000000062e+01 2.952718734999999928e+00 1.065380668999999969e+01 3.975272416999999781e+00 1.398978233000000060e+01 7.503099441999999675e-01
3.793001174999999847e+01 9.558150291000000465e+00 2.646577834999999990e+00 8.355529784999999876e+00 3.304702520000000199e+00 1.423241042999999983e+01 7.994490265999999457e-01
3.050952338999999824e+01 7.720280169999999664e+00 2.377906321999999850e+00 6.408909797999999824e+00 2.715140342999999845e+00 1.449106598000000012e+01 8.506497740999999779e-01
2.433251190000000008e+01 6.448702335000000119e+00 2.085756062999999827e+00 5.133426666000000083e+00 2.218709229999999977e+00 1.469286441999999937e+01 9.027709364999999542e-01
